#t[s]	dt[s]	p1[mbar]	dp1[mbar]	p2[mbar]	dp2[mbar]	p3[mbar]	dp3[mbar]
0	0	5.00E-03	1.50E-03	5.00E-03	1.50E-03	5.00E-03	1.50E-03
10	0.2	1.60E-04	4.80E-05	1.67E-04	5.01E-05	1.65E-04	4.95E-05
20	0.2	6.20E-05	1.86E-05	6.04E-05	1.81E-05	6.03E-05	1.81E-05
30	0.2	5.10E-05	1.53E-05	5.09E-05	1.53E-05	4.92E-05	1.48E-05
40	0.2	4.80E-05	1.44E-05	4.70E-05	1.41E-05	4.70E-05	1.41E-05
50	0.2	4.55E-05	1.37E-05	4.62E-05	1.39E-05	4.41E-05	1.32E-05
60	0.2	4.57E-05	1.37E-05	4.40E-05	1.32E-05	4.20E-05	1.26E-05
70	0.2	4.41E-05	1.32E-05	4.24E-05	1.27E-05	4.05E-05	1.22E-05
80	0.2	4.30E-05	1.29E-05	4.12E-05	1.24E-05	3.94E-05	1.18E-05
90	0.2	4.20E-05	1.26E-05	4.02E-05	1.21E-05	3.85E-05	1.16E-05
100	0.2	4.13E-05	1.24E-05	3.94E-05	1.18E-05	3.77E-05	1.13E-05
110	0.2	4.05E-05	1.22E-05	3.87E-05	1.16E-05	3.70E-05	1.11E-05
120	0.2	3.99E-05	1.20E-05	3.81E-05	1.14E-05	3.64E-05	1.09E-05
